id,url,headline,author,date
,,,,
22785187,https://www.theverge.com/2022/4/12/23021146/biden-administration-ethanol-e15-gas-prices,Biden administration green lights fuel that could be dirtier than regular gas,Justine Calma,Not mentioned
,,,,
22778932,https://www.theverge.com/2022/4/11/23014891/nintendo-switch-sports-wii-bowling-features-mini-games-price-release-date-hands-on,Nintendo Switch Sports feels like more than just a party game,Cameron Faulkner,Not mentioned
,,,,
22785664,https://www.theverge.com/2022/4/12/23021623/cheap-folding-ebike-price-specs-date,The Lectric XP Lite folding e-bike costs just $799,Thomas Ricker,Not mentioned
,,,,
22784442,https://www.theverge.com/23020401/elon-musk-twitter-board-takeover-agrawal-invest,What is going on with Elon Musk and Twitter?,Russell Brandom,Not mentioned
,,,,
22781315,https://www.theverge.com/2022/4/11/23017274/netflix-double-thumbs-up-button-recommendation-curation,Netflix is rolling out a Two Thumbs Up button,Catie Keck,Not mentioned
,,,,
22784725,https://www.theverge.com/2022/4/11/23020684/meta-horizon-worlds-test-creators-sell-virtual-items-monetization,Meta will let Horizon creators sell virtual items,Jay Peters,Not mentioned
,,,,
22783767,https://www.theverge.com/2022/4/11/23019726/google-puppy-fraud-aarp-scammer-basset-hound-dog,Google sues scammer for ‘puppy fraud’,Makena Kelly,Not mentioned
,,,,
22780989,https://www.theverge.com/2022/4/11/23016948/bob-chapek-disney-dont-say-gay-florida-lgbtqia,Disney’s ‘Don’t Say Gay’ misstep threatens to overshadow Chapek’s reign as CEO ,Catie Keck,Not mentioned
,,,,
22785640,https://www.theverge.com/2022/4/12/23021599/plex-podcast-opml-export-quit-date,Plex will end podcast support on Friday,Thomas Ricker,2022-04-12T08:39:22
,,,,
22785196,https://www.theverge.com/2022/4/11/23021155/deliveries-package-app-fedex-api-services,"Deliveries package tracking app loses FedEx access, says blame shipping companies",Mitchell Clark,2022-04-12T03:08:43
,,,,
21021684,https://www.theverge.com/21257643/nintendo-switch-lite-oled-how-to-buy-in-stock,Here’s where you can buy a Nintendo Switch,Sheena Vasani,2022-04-12T00:03:47
,,,,
22784590,https://www.theverge.com/2022/4/11/23020549/amazon-struggling-drone-deliveries-prime-air-bezos,Amazon is still struggling to make drone deliveries work,Emma Roth,2022-04-11T23:29:20
,,,,
22785070,https://www.theverge.com/2022/4/11/23021029/pc-market-decline-chromebooks-post-pandemic-hit-idc-gartner,PC market on the decline as Chromebook sales slide from their pandemic peak,Emma Roth,Not mentioned
,,,,
22781148,https://www.theverge.com/23017107/crypto-billion-dollar-bridge-hack-decentralized-finance,Explaining crypto’s billion-dollar bridge problem,Corin Faife,2022-04-11T12:00:09
,,,,
22784728,https://www.theverge.com/2022/4/11/23020687/activision-blizzard-diversity-equity-inclusion-officer,Activision Blizzard appoints new diversity officer,Ash Parrish,2022-04-11T20:43:20
,,,,
22784824,https://www.theverge.com/2022/4/11/23020783/oculus-meta-quest-2-vr-headset-update-v39-studio-mountainside,The latest update for Quest headsets lets you chill in a study with mountainside views,Cameron Faulkner,2022-04-11T20:30:58
,,,,
22784001,https://www.theverge.com/2022/4/11/23019960/youtube-premium-picture-in-picture-test-ended-april-8,"YouTube’s picture-in-picture iOS test for premium subscribers is over, and a full rollout isn’t ready yet",Jon Porter,2022-04-11T19:05:49
,,,,
22784162,https://www.theverge.com/2022/4/11/23020121/microsoft-surface-laptop-4-amazon-fire-tablet-apple-watch-series-7-ipad-jabra-earbuds-deal-sale,Microsoft’s Surface Laptop 4 is on sale for its lowest price ever at Amazon today,Alice Newcome-Beill,2022-04-11T18:42:50
,,,,
22784379,https://www.theverge.com/2022/4/11/23020338/square-enix-kingdom-hearts-4-reboot-hope,Kingdom Hearts 4 is an opportunity to win back lapsed fans,Ash Parrish,2022-04-11T18:31:31
,,,,
22784159,https://www.theverge.com/2022/4/11/23020118/elon-musk-twitter-schedule-13d-social-media-board-of-directors-sec,Elon Musk’s SEC filings reserve the right to buy a larger stake in Twitter,Richard Lawler,2022-04-11T18:21:30
,,,,
,https://www.voxmedia.com/careers,"We're building great things, and we need your talent.",NA,Not mentioned
,,,,
22781402,https://www.theverge.com/23017361/ifixit-right-to-repair-parts-google-samsung-valve-microsoft,The era of fixing your own phone has nearly arrived,Sean Hollister,2022-04-09T16:00:00
,,,,
22784532,https://www.theverge.com/2022/4/11/23020491/lincoln-ev-concept-announcement-date-electric-ford,Lincoln to show off EV concept on April 20th,Mitchell Clark,2022-04-11T17:56:49
,,,,
22784540,https://www.theverge.com/2022/4/11/23020499/square-ipad-point-of-sale-stand-built-in-payments-reader,Square’s new iPad stand has tap to pay and chip card readers built in,Jay Peters,2022-04-11T17:44:52
,,,,
22370664,https://www.theverge.com/22606623/best-cell-phone-plans-verizon-att-t-mobile,The best phone plans in 2022 (and how to pick one),Allison Johnson,2022-04-11T17:05:28
,,,,
