id,url,headline,author,date
22786409,https://www.theverge.com/2022/4/12/23022368/anker-757-powerhouse-portable-power-station-price-release,Anker’s biggest battery pack ever is a 43-pound power station with impressive specs,Sean Hollister,Not mentioned
22786384,https://www.theverge.com/2022/4/12/23022343/stripe-alphabet-meta-shopify-mckinsey-launch-carbon-removal-initiative-frontier,"Stripe, Alphabet, Meta, Shopify, and McKinsey launch new carbon removal initiative",Justine Calma,Not mentioned
22786818,https://www.theverge.com/23022777/hasbro-robosen-transforming-optimus-prime-robot-trailer,The $750 self-transforming Optimus Prime just got a $750 transforming trailer too,Sean Hollister,Not mentioned
22785289,https://www.theverge.com/2022/4/12/23021248/elon-musk-twitter-troll-board-seat-fiduciary-vs-fun,How Elon Musk got everything he wanted out of Twitter,Casey Newton,Not mentioned
22786400,https://www.theverge.com/2022/4/12/23022359/cnn-plus-viewership-rates-streaming-warnermedia,"CNN Plus is reportedly drawing fewer than 10,000 viewers a day",Emma Roth,Not mentioned
22786426,https://www.theverge.com/2022/4/12/23022385/toyota-bz4x-ev-suv-pricing-availability-announcement,"Toyota’s bZ4X all-electric SUV will start at $42,000",Mitchell Clark,Not mentioned
22785845,https://www.theverge.com/2022/4/12/23021804/elden-ring-speedruns-sub-ten-minutes-metronome,Elden Ring speedruns are now less than 10 minutes long,Ash Parrish,Not mentioned
22777510,https://www.theverge.com/23013469/monitor-display-flip-portrait-landscape-mode-how-to,How to flip your monitor from landscape to portrait,Barbara Krasnoff,Not mentioned
22787341,https://www.theverge.com/2022/4/13/23023300/fifa-plus-free-40000-live-matches-original-content,"FIFA Plus launches with over 40,000 free soccer matches to watch live",Thomas Ricker,2022-04-13T07:43:46
22786701,https://www.theverge.com/2022/4/13/23022660/moonpay-nft-crypto-valuation-snoop-dogg-gwyneth-paltrow-justin-bieber-paris-hilton,"Thanks, Gwyneth! MoonPay rides celebrity interest to $3.4 billion valuation ",Elizabeth Lopatto,2022-04-13T04:01:00
22786884,https://www.theverge.com/2022/4/12/23022843/sony-playstation-network-outage-is-down-error-store-ps5-ps4,PlayStation Network experienced an outage on Tuesday,Jay Peters,2022-04-12T23:53:37
22784768,https://www.theverge.com/23020727/decoder-chris-dixon-web3-crypto-a16z-vc-silicon-valley-investing-podcast-interview,Chris Dixon thinks web3 is the future of the internet — is it?,Nilay Patel,2022-04-12T15:47:39
22786582,https://www.theverge.com/2022/4/12/23022541/youtube-sidebar-outage-settings-account-switch-sign-in,"YouTube is recovering from outage, fixing sidebar and casting",Mitchell Clark,Not mentioned
22786736,https://www.theverge.com/2022/4/12/23022695/yelp-travel-reimburse-employees-travel-abortion-access-texas-law,Yelp will reimburse employees who need to travel to access abortion services,Emma Roth,2022-04-12T23:20:42
22786761,https://www.theverge.com/2022/4/12/23022720/lucid-air-grand-touring-performance-1050hp,Lucid brings a Performance upgrade to its most expensive electric car,Umar Shakir,2022-04-12T23:05:55
22786511,https://www.theverge.com/2022/4/12/23022470/apple-pegatron-iphone-manufacturing-shanghai-kunshan-covid-19,iPhone maker Pegatron halts production at plants in Shanghai and Kunshan due to COVID restrictions,Jay Peters,2022-04-12T20:39:44
22786363,https://www.theverge.com/2022/4/12/23022322/mementos-sessions-music-persona-5-ep-album-release,Persona 5’s incredible soundtrack gets the tribute it deserves in a new EP,Antonio G. Di Benedetto,2022-04-12T20:04:23
22786264,https://www.theverge.com/2022/4/12/23022223/google-photos-unlimited-storage-t-mobile-google-one-2-tb,Unlimited Google Photos storage is back... for $15 per month at T-Mobile,Allison Johnson,2022-04-12T18:33:24
22786148,https://www.theverge.com/2022/4/12/23022107/amazon-warehouse-injuries-us-half,Amazon workers made up almost half of all warehouse injuries last year,Mitchell Clark,2022-04-12T18:26:07
22749568,https://www.theverge.com/2022/4/12/22985527/webroot-opentext-patent-troll-lawsuit-malware-detection-endpoint-security,A series of patent lawsuits is challenging the history of malware detection,Corin Faife,2022-04-12T14:00:00
,https://www.voxmedia.com/careers,"We're building great things, and we need your talent.",NA,Not mentioned
22786294,https://www.theverge.com/2022/4/12/23022253/apple-imovie-3-0-update-storyboards-templates-magic-movie,Apple’s latest iMovie update adds new features to help you create videos more quickly,Jay Peters,2022-04-12T18:02:15
22785880,https://www.theverge.com/2022/4/12/23021839/amazon-warehouse-tornado-collapsed-construction-defects-slain-worker,"Collapsed Amazon warehouse had construction defects, says family of slain worker",Justine Calma,2022-04-12T17:43:41
22786107,https://www.theverge.com/2022/4/12/23022066/twitter-openback-acquisition-improve-push-notifications,Twitter’s new acquisition could help alert you about only the tweets that actually matter ,Jay Peters,2022-04-12T17:22:27
